s,kW,kW
Time,qdot1,qdot2
 4.4904988E+002, 1.4805874E+000, 1.0882777E+001
 4.5031214E+002, 1.4805513E+000, 1.0881387E+001
 4.5125884E+002, 1.4805105E+000, 1.0880054E+001
 4.5220554E+002, 1.4804733E+000, 1.0879016E+001
 4.5315223E+002, 1.4804379E+000, 1.0878614E+001
 4.5409893E+002, 1.4803952E+000, 1.0879434E+001
 4.5504563E+002, 1.4803465E+000, 1.0881537E+001
 4.5630789E+002, 1.4802835E+000, 1.0884976E+001
 4.5725459E+002, 1.4802323E+000, 1.0888655E+001
 4.5820128E+002, 1.4801965E+000, 1.0891626E+001
 4.5914798E+002, 1.4801604E+000, 1.0894066E+001
